epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,12.4991,2.62151,0.48179,0.85154,1.93457,0.000149923,0.000149923,0.000149923
2,20.0617,1.43905,0.80112,0.96639,0.71458,0.000286661,0.000286661,0.000286661
3,27.4858,0.68102,0.87675,0.97759,0.45531,0.000408384,0.000408384,0.000408384
4,34.822,0.40793,0.89916,0.98599,0.34167,0.000387433,0.000387433,0.000387433
5,42.0805,0.27375,0.89636,0.98319,0.30375,0.00036491,0.00036491,0.00036491
6,49.4044,0.22778,0.91597,0.9916,0.29803,0.000342387,0.000342387,0.000342387
7,56.6145,0.18825,0.93277,0.9916,0.21427,0.000319865,0.000319865,0.000319865
8,64.0309,0.18433,0.92717,0.9944,0.23398,0.000297342,0.000297342,0.000297342
9,71.2729,0.15053,0.92997,0.9888,0.23748,0.00027482,0.00027482,0.00027482
10,78.5411,0.09621,0.93277,0.98599,0.29359,0.000252298,0.000252298,0.000252298
11,86.7121,0.09099,0.92437,0.9916,0.43286,0.000229775,0.000229775,0.000229775
12,93.8518,0.08284,0.93838,0.9888,0.23574,0.000207252,0.000207252,0.000207252
13,101.109,0.06782,0.95238,0.9888,0.23095,0.00018473,0.00018473,0.00018473
14,108.32,0.05582,0.94398,0.9916,0.25953,0.000162207,0.000162207,0.000162207
15,115.485,0.05847,0.94398,0.9972,0.20735,0.000139685,0.000139685,0.000139685
16,122.892,0.04291,0.95798,0.9972,0.23903,0.000117163,0.000117163,0.000117163
17,130.186,0.0376,0.94118,0.9944,0.24716,9.464e-05,9.464e-05,9.464e-05
18,137.311,0.02833,0.95798,0.9972,0.20367,7.21175e-05,7.21175e-05,7.21175e-05
19,144.793,0.03027,0.96078,0.9944,0.21536,4.9595e-05,4.9595e-05,4.9595e-05
20,152.069,0.01615,0.95798,0.9972,0.20898,2.70725e-05,2.70725e-05,2.70725e-05
