epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,8.52012,2.64538,0.48739,0.82353,2.01335,0.000149923,0.000149923,0.000149923
2,16.3301,1.53176,0.7479,0.96639,0.81856,0.000286661,0.000286661,0.000286661
3,23.9413,0.7069,0.87395,0.98039,0.39792,0.000408384,0.000408384,0.000408384
4,31.2598,0.40572,0.91317,0.97759,0.3125,0.000387433,0.000387433,0.000387433
5,38.5975,0.31955,0.89916,0.98599,0.30066,0.00036491,0.00036491,0.00036491
6,45.7324,0.25192,0.92437,0.9888,0.26658,0.000342387,0.000342387,0.000342387
7,53.1306,0.1906,0.92437,0.9888,0.27707,0.000319865,0.000319865,0.000319865
8,60.3928,0.1717,0.91877,0.98039,0.26699,0.000297342,0.000297342,0.000297342
9,67.5276,0.13415,0.94678,0.9916,0.27656,0.00027482,0.00027482,0.00027482
10,75.095,0.10264,0.91597,0.9888,0.30184,0.000252298,0.000252298,0.000252298
11,83.334,0.10066,0.94958,0.9944,0.25022,0.000229775,0.000229775,0.000229775
12,90.6436,0.08529,0.93838,0.9972,0.20703,0.000207252,0.000207252,0.000207252
13,97.936,0.07004,0.95518,0.9944,0.19882,0.00018473,0.00018473,0.00018473
14,105.175,0.05605,0.94118,0.9944,0.1902,0.000162207,0.000162207,0.000162207
15,112.549,0.05574,0.95238,0.9916,0.195,0.000139685,0.000139685,0.000139685
16,119.955,0.05239,0.94398,0.9944,0.25524,0.000117163,0.000117163,0.000117163
17,127.316,0.03599,0.94118,0.9972,0.20606,9.464e-05,9.464e-05,9.464e-05
18,134.711,0.03567,0.93838,0.9944,0.19228,7.21175e-05,7.21175e-05,7.21175e-05
