epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,8.6021,2.61777,0.4902,0.83193,1.95654,0.000149923,0.000149923,0.000149923
2,16.2817,1.46845,0.78151,0.96359,0.79911,0.000286661,0.000286661,0.000286661
3,23.7155,0.69518,0.86555,0.96359,0.45307,0.000408384,0.000408384,0.000408384
4,31.3982,0.38981,0.90476,0.9888,0.31821,0.000387433,0.000387433,0.000387433
5,38.9023,0.285,0.92717,0.9916,0.26801,0.00036491,0.00036491,0.00036491
6,46.5605,0.2212,0.92437,0.9888,0.27853,0.000342387,0.000342387,0.000342387
7,53.9423,0.17955,0.91877,0.9888,0.25338,0.000319865,0.000319865,0.000319865
8,61.0593,0.1343,0.93557,0.9888,0.24369,0.000297342,0.000297342,0.000297342
9,68.5831,0.11712,0.91877,0.9888,0.25323,0.00027482,0.00027482,0.00027482
10,75.9946,0.11159,0.90476,0.9888,0.35481,0.000252298,0.000252298,0.000252298
11,84.5616,0.12339,0.92717,0.9916,0.36039,0.000229775,0.000229775,0.000229775
12,91.9169,0.08234,0.93838,0.9972,0.24816,0.000207252,0.000207252,0.000207252
13,99.2955,0.07369,0.93838,0.9916,0.25468,0.00018473,0.00018473,0.00018473
14,106.866,0.05261,0.94118,0.9972,0.24026,0.000162207,0.000162207,0.000162207
15,114.59,0.04511,0.93838,0.9916,0.26238,0.000139685,0.000139685,0.000139685
16,121.951,0.03382,0.94678,0.9944,0.31706,0.000117163,0.000117163,0.000117163
17,129.524,0.02502,0.94398,0.9944,0.26581,9.464e-05,9.464e-05,9.464e-05
18,136.816,0.03073,0.94958,0.9944,0.22554,7.21175e-05,7.21175e-05,7.21175e-05
19,144.352,0.02859,0.94958,0.9944,0.22082,4.9595e-05,4.9595e-05,4.9595e-05
20,151.656,0.02535,0.95238,0.9944,0.19918,2.70725e-05,2.70725e-05,2.70725e-05
