epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.19,1.40415,1.36788,1.237,0.65387,0.53424,0.58121,0.35437,1.42931,1.35033,1.25479,0.0672276,0.000331034,0.000331034
2,133.599,1.26019,0.80535,1.11283,0.81225,0.71569,0.76226,0.45575,1.34138,1.10553,1.17206,0.0342144,0.000651213,0.000651213
3,200.451,1.26336,0.80937,1.12455,0.86084,0.70879,0.79262,0.4941,1.3003,1.62009,1.157,0.00118808,0.000958192,0.000958192
4,266.186,1.25286,0.78637,1.11234,0.86207,0.749,0.82695,0.52142,1.28894,0.7954,1.12928,0.0009406,0.0009406,0.0009406
5,332.028,1.22918,0.75111,1.10379,0.87044,0.77067,0.83443,0.51474,1.27363,0.76283,1.13318,0.0009208,0.0009208,0.0009208
6,397.555,1.20925,0.72194,1.09167,0.87495,0.72763,0.82936,0.53408,1.2484,0.748,1.1005,0.000901,0.000901,0.000901
7,463.012,1.19604,0.70417,1.08329,0.87249,0.77101,0.84223,0.54037,1.23085,0.69325,1.11259,0.0008812,0.0008812,0.0008812
8,528.523,1.18535,0.69324,1.07793,0.88585,0.78474,0.86076,0.56757,1.19781,0.64287,1.08462,0.0008614,0.0008614,0.0008614
9,593.839,1.17683,0.67305,1.07434,0.8892,0.79378,0.86683,0.56486,1.20899,0.63904,1.09106,0.0008416,0.0008416,0.0008416
10,658.965,1.17375,0.66278,1.07388,0.88889,0.77708,0.86106,0.5602,1.22183,0.63779,1.10113,0.0008218,0.0008218,0.0008218
11,724.258,1.16739,0.6569,1.06867,0.88516,0.80136,0.8705,0.56776,1.20458,0.6293,1.08053,0.000802,0.000802,0.000802
12,789.486,1.15432,0.64914,1.05893,0.87995,0.80466,0.86907,0.5698,1.20504,0.61127,1.08146,0.0007822,0.0007822,0.0007822
13,854.664,1.15342,0.63731,1.06206,0.88637,0.79641,0.87201,0.57038,1.1893,0.61923,1.08134,0.0007624,0.0007624,0.0007624
14,920.068,1.14667,0.63073,1.05497,0.88304,0.80087,0.87088,0.56737,1.21017,0.60134,1.07979,0.0007426,0.0007426,0.0007426
15,985.409,1.13605,0.61796,1.05296,0.8814,0.8049,0.87345,0.57245,1.1823,0.59916,1.07014,0.0007228,0.0007228,0.0007228
16,1050.83,1.13566,0.61728,1.04975,0.88449,0.79359,0.87169,0.57414,1.18916,0.59283,1.07662,0.000703,0.000703,0.000703
17,1116.16,1.13574,0.60556,1.05004,0.89167,0.80476,0.88045,0.58224,1.18303,0.57537,1.06367,0.0006832,0.0006832,0.0006832
18,1181.43,1.12839,0.60439,1.04705,0.8921,0.80117,0.87819,0.57604,1.19704,0.58126,1.07539,0.0006634,0.0006634,0.0006634
19,1246.48,1.1255,0.59697,1.0437,0.89259,0.8112,0.88386,0.58675,1.16079,0.5632,1.05938,0.0006436,0.0006436,0.0006436
20,1311.81,1.12292,0.59295,1.03926,0.88135,0.80813,0.87905,0.58138,1.16898,0.5787,1.06381,0.0006238,0.0006238,0.0006238
21,1376.87,1.11976,0.58536,1.03891,0.88784,0.81068,0.88267,0.58462,1.16759,0.57117,1.06127,0.000604,0.000604,0.000604
22,1441.9,1.11049,0.58053,1.03679,0.88801,0.81642,0.88651,0.59067,1.16978,0.55113,1.05682,0.0005842,0.0005842,0.0005842
23,1507.28,1.11457,0.5798,1.03708,0.8881,0.81428,0.88697,0.59121,1.15585,0.54964,1.04707,0.0005644,0.0005644,0.0005644
24,1572.55,1.10581,0.57795,1.03652,0.89302,0.81006,0.88479,0.58725,1.17006,0.55729,1.05682,0.0005446,0.0005446,0.0005446
25,1637.45,1.10261,0.56876,1.0336,0.89249,0.81768,0.89022,0.59572,1.15971,0.54848,1.06031,0.0005248,0.0005248,0.0005248
26,1702.44,1.10562,0.56565,1.03463,0.88979,0.81716,0.89028,0.59402,1.16275,0.54047,1.05124,0.000505,0.000505,0.000505
27,1767.52,1.08827,0.55733,1.02871,0.89299,0.81671,0.88988,0.59326,1.15994,0.53595,1.05461,0.0004852,0.0004852,0.0004852
28,1832.69,1.09207,0.55598,1.02806,0.90067,0.81732,0.8949,0.59713,1.16041,0.53557,1.05718,0.0004654,0.0004654,0.0004654
29,1897.88,1.08213,0.54744,1.0211,0.89985,0.80738,0.89023,0.59584,1.14924,0.53751,1.04831,0.0004456,0.0004456,0.0004456
30,1962.63,1.07963,0.54769,1.02223,0.90197,0.81505,0.89394,0.59717,1.15347,0.53503,1.04606,0.0004258,0.0004258,0.0004258
31,2027.6,1.08073,0.53995,1.01918,0.8963,0.81438,0.8939,0.60114,1.15016,0.5269,1.04318,0.000406,0.000406,0.000406
32,2092.67,1.07988,0.53399,1.01744,0.89813,0.81622,0.89684,0.60208,1.15164,0.5252,1.04549,0.0003862,0.0003862,0.0003862
33,2157.58,1.07086,0.53219,1.01977,0.89572,0.81596,0.89474,0.60361,1.14381,0.52395,1.04325,0.0003664,0.0003664,0.0003664
34,2222.69,1.06665,0.52124,1.01522,0.89322,0.8237,0.89453,0.60518,1.14259,0.51829,1.04058,0.0003466,0.0003466,0.0003466
35,2287.9,1.07111,0.52945,1.01208,0.89283,0.82603,0.89739,0.60383,1.144,0.5216,1.04255,0.0003268,0.0003268,0.0003268
36,2353.01,1.0637,0.51996,1.01419,0.8962,0.82184,0.89489,0.60529,1.14291,0.51778,1.04264,0.000307,0.000307,0.000307
37,2418.22,1.0594,0.51745,1.01085,0.88529,0.82462,0.89489,0.59967,1.14496,0.51959,1.04597,0.0002872,0.0002872,0.0002872
38,2483.1,1.05898,0.5106,1.01214,0.89454,0.82224,0.89378,0.59997,1.14246,0.52354,1.04122,0.0002674,0.0002674,0.0002674
39,2548.15,1.0548,0.51124,1.00941,0.89863,0.82061,0.89686,0.6061,1.14228,0.51545,1.04638,0.0002476,0.0002476,0.0002476
40,2613.4,1.05011,0.50198,1.00681,0.89324,0.8304,0.896,0.60472,1.14272,0.51252,1.0413,0.0002278,0.0002278,0.0002278
41,2681.58,1.05152,0.47042,1.00385,0.89908,0.8237,0.89592,0.6045,1.14584,0.51752,1.04467,0.000208,0.000208,0.000208
42,2745.77,1.05145,0.4647,1.00105,0.89963,0.82626,0.89731,0.60516,1.14482,0.51551,1.04613,0.0001882,0.0001882,0.0001882
43,2809.74,1.04524,0.46218,0.99638,0.88269,0.83594,0.89689,0.60424,1.14618,0.51349,1.04302,0.0001684,0.0001684,0.0001684
44,2873.97,1.03835,0.45777,0.99632,0.89381,0.83341,0.89593,0.6053,1.14435,0.51672,1.04928,0.0001486,0.0001486,0.0001486
