epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,12.5678,0.30922,0.95016,1,0.15234,0.0673143,0.000330159,0.000330159
2,21.9699,0.4299,0.92212,0.9891,0.26515,0.0343099,0.000659113,0.000659113
3,31.3786,0.53078,0.91277,0.99533,0.2675,0.00130113,0.000983667,0.000983667
4,40.7911,0.50856,0.87383,0.99533,0.51527,0.0009802,0.0009802,0.0009802
5,49.8415,0.53609,0.9486,0.99688,0.19484,0.0009736,0.0009736,0.0009736
6,58.9974,0.48231,0.92835,0.99844,0.18593,0.000967,0.000967,0.000967
7,68.4832,0.40764,0.95171,0.99688,0.14514,0.0009604,0.0009604,0.0009604
8,77.7126,0.37425,0.95327,0.99533,0.14267,0.0009538,0.0009538,0.0009538
9,87.5085,0.38976,0.93614,0.99688,0.21347,0.0009472,0.0009472,0.0009472
10,96.7193,0.34158,0.97352,1,0.07804,0.0009406,0.0009406,0.0009406
11,106.081,0.30971,0.98287,1,0.07534,0.000934,0.000934,0.000934
12,115.44,0.29924,0.9704,1,0.0913,0.0009274,0.0009274,0.0009274
13,125.022,0.28233,0.98131,1,0.05326,0.0009208,0.0009208,0.0009208
14,134.102,0.24281,0.97508,1,0.08578,0.0009142,0.0009142,0.0009142
15,143.687,0.27064,0.97352,0.99844,0.09527,0.0009076,0.0009076,0.0009076
16,153.203,0.27218,0.9704,1,0.09365,0.000901,0.000901,0.000901
17,162.589,0.23211,0.98287,1,0.0492,0.0008944,0.0008944,0.0008944
18,171.969,0.24299,0.99221,0.99844,0.02924,0.0008878,0.0008878,0.0008878
19,181.3,0.20959,0.98598,1,0.05321,0.0008812,0.0008812,0.0008812
20,190.966,0.2113,0.98598,1,0.05621,0.0008746,0.0008746,0.0008746
21,200.372,0.20351,0.98442,1,0.05211,0.000868,0.000868,0.000868
22,209.57,0.21981,0.98442,1,0.04682,0.0008614,0.0008614,0.0008614
23,218.83,0.202,0.99065,1,0.02793,0.0008548,0.0008548,0.0008548
24,228.11,0.12817,0.97819,0.99844,0.05762,0.0008482,0.0008482,0.0008482
25,237.362,0.12939,0.99533,0.99844,0.02228,0.0008416,0.0008416,0.0008416
26,246.734,0.13298,0.99221,1,0.02479,0.000835,0.000835,0.000835
27,255.918,0.14353,0.98754,0.99844,0.04399,0.0008284,0.0008284,0.0008284
28,264.975,0.14698,0.98131,0.99844,0.05698,0.0008218,0.0008218,0.0008218
29,274.119,0.14416,0.99065,1,0.05535,0.0008152,0.0008152,0.0008152
30,282.974,0.1305,0.99221,1,0.02698,0.0008086,0.0008086,0.0008086
31,292.032,0.1496,0.9891,0.99844,0.03296,0.000802,0.000802,0.000802
32,301.662,0.11578,0.99533,1,0.02286,0.0007954,0.0007954,0.0007954
33,310.727,0.10593,0.99377,0.99844,0.02342,0.0007888,0.0007888,0.0007888
34,319.777,0.09474,0.99221,1,0.019,0.0007822,0.0007822,0.0007822
35,329.137,0.08898,0.98754,1,0.03204,0.0007756,0.0007756,0.0007756
36,338.653,0.08538,0.99377,1,0.03155,0.000769,0.000769,0.000769
37,347.768,0.08639,0.99533,1,0.0107,0.0007624,0.0007624,0.0007624
38,357.175,0.07393,0.99533,0.99844,0.02435,0.0007558,0.0007558,0.0007558
