epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,10.1372,0.36163,0.85514,0.99065,0.51045,0.0673143,0.000330159,0.000330159
2,19.894,0.50547,0.91589,0.99688,0.29735,0.0343099,0.000659113,0.000659113
3,29.3675,0.58214,0.92368,0.99377,0.28724,0.00130113,0.000983667,0.000983667
4,38.9059,0.58648,0.89875,0.99377,0.28961,0.0009802,0.0009802,0.0009802
5,48.0855,0.56607,0.93458,0.99844,0.1952,0.0009736,0.0009736,0.0009736
6,57.554,0.4829,0.94548,0.99688,0.15353,0.000967,0.000967,0.000967
7,67.0399,0.42628,0.94548,0.99688,0.17121,0.0009604,0.0009604,0.0009604
8,76.3926,0.45086,0.95016,0.99844,0.17699,0.0009538,0.0009538,0.0009538
9,85.6835,0.43597,0.92991,0.99688,0.27737,0.0009472,0.0009472,0.0009472
10,95.5145,0.39342,0.96417,1,0.11197,0.0009406,0.0009406,0.0009406
11,104.941,0.32652,0.95327,0.99688,0.14032,0.000934,0.000934,0.000934
12,114.088,0.32715,0.97508,0.99844,0.08844,0.0009274,0.0009274,0.0009274
13,123.796,0.34664,0.96262,0.99844,0.11046,0.0009208,0.0009208,0.0009208
14,132.964,0.32035,0.96573,1,0.09181,0.0009142,0.0009142,0.0009142
15,142.174,0.31693,0.98131,1,0.07303,0.0009076,0.0009076,0.0009076
16,151.893,0.26192,0.96885,1,0.08342,0.000901,0.000901,0.000901
17,161.248,0.27555,0.97975,1,0.06927,0.0008944,0.0008944,0.0008944
18,170.308,0.22455,0.98442,0.99688,0.05248,0.0008878,0.0008878,0.0008878
19,179.437,0.19715,0.98287,1,0.05364,0.0008812,0.0008812,0.0008812
20,188.837,0.23698,0.97819,1,0.06394,0.0008746,0.0008746,0.0008746
21,198.206,0.20729,0.98131,1,0.0636,0.000868,0.000868,0.000868
22,207.379,0.20799,0.9891,1,0.05073,0.0008614,0.0008614,0.0008614
23,216.591,0.23449,0.98598,1,0.04961,0.0008548,0.0008548,0.0008548
24,225.663,0.201,0.98131,1,0.05269,0.0008482,0.0008482,0.0008482
25,234.624,0.19586,0.98754,1,0.04451,0.0008416,0.0008416,0.0008416
26,243.988,0.15545,0.98442,1,0.04038,0.000835,0.000835,0.000835
27,253.018,0.17623,0.98754,1,0.02945,0.0008284,0.0008284,0.0008284
28,262.158,0.1684,0.99377,1,0.02227,0.0008218,0.0008218,0.0008218
29,271.353,0.16504,0.99065,1,0.02199,0.0008152,0.0008152,0.0008152
30,280.363,0.12529,0.99065,1,0.03638,0.0008086,0.0008086,0.0008086
31,289.595,0.13802,0.99533,1,0.01765,0.000802,0.000802,0.000802
32,299.329,0.14274,0.99065,1,0.03064,0.0007954,0.0007954,0.0007954
33,307.833,0.12975,0.99221,1,0.02042,0.0007888,0.0007888,0.0007888
34,317.374,0.11582,0.9891,1,0.02791,0.0007822,0.0007822,0.0007822
35,326.655,0.14746,0.99065,1,0.02662,0.0007756,0.0007756,0.0007756
36,335.912,0.11953,0.99377,1,0.03904,0.000769,0.000769,0.000769
37,345.037,0.08958,0.99688,1,0.01162,0.0007624,0.0007624,0.0007624
38,354.266,0.10122,0.99688,1,0.00853,0.0007558,0.0007558,0.0007558
39,363.803,0.1121,0.99688,1,0.01439,0.0007492,0.0007492,0.0007492
40,373.138,0.08385,0.99533,1,0.01618,0.0007426,0.0007426,0.0007426
41,382.03,0.09939,0.99688,1,0.01466,0.000736,0.000736,0.000736
42,391.31,0.10486,0.99377,1,0.01171,0.0007294,0.0007294,0.0007294
43,400.686,0.12782,0.99688,1,0.01763,0.0007228,0.0007228,0.0007228
44,409.918,0.12453,0.99377,1,0.02119,0.0007162,0.0007162,0.0007162
45,418.623,0.10467,0.99533,1,0.01435,0.0007096,0.0007096,0.0007096
46,427.959,0.09809,0.99221,1,0.03584,0.000703,0.000703,0.000703
47,437.18,0.10896,0.99688,1,0.01604,0.0006964,0.0006964,0.0006964
48,446.222,0.07783,0.99377,1,0.01058,0.0006898,0.0006898,0.0006898
49,455.42,0.08938,0.99844,1,0.00731,0.0006832,0.0006832,0.0006832
50,464.794,0.09223,0.99377,1,0.01373,0.0006766,0.0006766,0.0006766
51,474.048,0.07645,0.99377,1,0.02631,0.00067,0.00067,0.00067
52,482.878,0.08199,0.99688,1,0.01386,0.0006634,0.0006634,0.0006634
53,492.447,0.06515,0.99377,1,0.01806,0.0006568,0.0006568,0.0006568
54,501.981,0.08897,0.99533,1,0.01362,0.0006502,0.0006502,0.0006502
55,511.055,0.06413,0.99533,1,0.01298,0.0006436,0.0006436,0.0006436
56,520.452,0.07761,0.99533,1,0.02382,0.000637,0.000637,0.000637
57,529.763,0.09517,0.99221,1,0.02105,0.0006304,0.0006304,0.0006304
58,539.008,0.07196,0.99377,1,0.01584,0.0006238,0.0006238,0.0006238
59,548.571,0.06732,0.99377,1,0.02019,0.0006172,0.0006172,0.0006172
60,557.668,0.07995,0.99844,1,0.00983,0.0006106,0.0006106,0.0006106
61,567.271,0.05306,0.99688,1,0.01237,0.000604,0.000604,0.000604
62,576.296,0.07285,0.99844,1,0.00598,0.0005974,0.0005974,0.0005974
63,585.731,0.04967,0.99533,1,0.01482,0.0005908,0.0005908,0.0005908
64,594.792,0.04145,0.99533,1,0.01116,0.0005842,0.0005842,0.0005842
65,604.073,0.03131,0.99533,1,0.01925,0.0005776,0.0005776,0.0005776
66,613.711,0.02989,0.99533,1,0.01473,0.000571,0.000571,0.000571
67,622.786,0.04597,0.99377,1,0.0211,0.0005644,0.0005644,0.0005644
68,632.194,0.04207,0.99688,1,0.0116,0.0005578,0.0005578,0.0005578
69,641.278,0.04206,0.99065,1,0.02719,0.0005512,0.0005512,0.0005512
70,650.565,0.05101,0.99533,1,0.01681,0.0005446,0.0005446,0.0005446
71,659.444,0.03565,0.99221,1,0.01941,0.000538,0.000538,0.000538
72,668.703,0.05387,0.99688,1,0.01156,0.0005314,0.0005314,0.0005314
73,677.698,0.03938,0.99688,1,0.00983,0.0005248,0.0005248,0.0005248
74,686.891,0.02809,0.99533,1,0.01103,0.0005182,0.0005182,0.0005182
75,696.095,0.03566,0.99688,1,0.01397,0.0005116,0.0005116,0.0005116
76,705.332,0.0389,0.99533,1,0.01385,0.000505,0.000505,0.000505
77,714.932,0.04469,0.99533,1,0.01631,0.0004984,0.0004984,0.0004984
78,724.274,0.03349,0.99533,0.99844,0.02447,0.0004918,0.0004918,0.0004918
79,733.697,0.02431,0.99533,1,0.02081,0.0004852,0.0004852,0.0004852
